supplier_id,business_name,registration_number,status,registration_date,business_type,industry_category,state,verification_status,verification_reason
BUS0000637,Sunrise Traders,RC932729,registered,2021-09-08,Non-Profit Organization,Renewable Energy,Sokoto,VERIFIED,Business passed basic verification
BUS0000638,Heritage Consulting,RC364646,registered,2021-06-09,Business Name,Agriculture,Kebbi,VERIFIED,Business passed basic verification
BUS0000639,Crestfield Trading,RC581949,registered,,Limited Liability Company,Automotive,Rivers,REJECTED,Missing or invalid registration date
BUS0000640,Evergreen Agro,RC323049,registered,,Partnership,Hospitality,Ekiti,REJECTED,Missing or invalid registration date
BUS0000641,Alpha Systems Ltd,RC513995,registered,,Public Limited Company,Waste Management,Ondo,REJECTED,Missing or invalid registration date
BUS0000642,Mercury Marketing,RC357312,registered,,Partnership,Healthcare,Kwara,REJECTED,Missing or invalid registration date
BUS0000643,Horizon Auto Parts,RC190590,registered,2021-12-07,Sole Proprietorship,Agro-processing,Anambra,VERIFIED,Business passed basic verification
BUS0000644,Nova Industrial Works,RC246574,registered,2023-04-01,Enterprise,Textiles,Anambra,VERIFIED,Business passed basic verification
BUS0000645,Lakeside Traders,RC543865,registered,,Business Name,Beverages,Taraba,REJECTED,Missing or invalid registration date
BUS0000646,Sunrise Traders,RC547076,registered,,Public Limited Company,Security Services,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000647,Royal Furnishings,RC470243,registered,2019-06-05,Partnership,Hospitality,Adamawa,VERIFIED,Business passed basic verification
BUS0000648,Lakeside Traders,RC827711,registered,,Sole Proprietorship,Facility Management,Ebonyi,REJECTED,Missing or invalid registration date
BUS0000649,PrimeBuild Construction,RC741949,registered,,Limited Liability Company,Transportation,Ondo,REJECTED,Missing or invalid registration date
BUS0000650,Elite Cleaning Co,RC960526,registered,2022-08-02,Cooperative Society,Agriculture,Bayelsa,VERIFIED,Business passed basic verification
BUS0000651,Bright Learning Institute,RC278547,registered,,Partnership,Human Resources,Niger,REJECTED,Missing or invalid registration date
BUS0000652,Horizon Auto Parts,RC554798,registered,,Cooperative Society,Education,Niger,REJECTED,Missing or invalid registration date
BUS0000653,BlueOcean Logistics,RC333170,registered,,Limited Liability Company,Manufacturing,Adamawa,REJECTED,Missing or invalid registration date
BUS0000654,GreenField Farms Ltd,RC293483,registered,2016-06-04,Partnership,Automotive,Gombe,VERIFIED,Business passed basic verification
BUS0000655,Olive Oil Processing,RC424016,registered,,Enterprise,Agro-processing,Katsina,REJECTED,Missing or invalid registration date
BUS0000656,Vertex Global Services,RC357644,registered,,Non-Profit Organization,Information Technology,Kaduna,REJECTED,Missing or invalid registration date
BUS0000657,Atlas Transport,RC125715,registered,,Enterprise,Wholesale,Bauchi,REJECTED,Missing or invalid registration date
BUS0000658,MetroLink Ventures,RC339392,registered,,Enterprise,Waste Management,Ondo,REJECTED,Missing or invalid registration date
BUS0000659,Prime Health Supplies,RC894121,registered,,Sole Proprietorship,Pharmaceuticals,Anambra,REJECTED,Missing or invalid registration date
BUS0000660,Bountiful Beverages,RC966851,registered,,Non-Profit Organization,Textiles,Kogi,REJECTED,Missing or invalid registration date
BUS0000661,Elite Cleaning Co,RC919848,registered,,Public Limited Company,Pharmaceuticals,Taraba,REJECTED,Missing or invalid registration date
BUS0000662,SkyHigh Enterprises,RC641127,registered,,Partnership,Healthcare,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000663,CitiCenter Supplies,RC996771,registered,,Non-Profit Organization,Renewable Energy,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000664,SkyHigh Enterprises,RC417302,registered,2025-04-05,Limited Liability Company,Information Technology,Abia,FLAGGED,Recently registered business
BUS0000665,Unity Supplies Nigeria,RC922802,registered,,Limited Liability Company,EdTech,Kaduna,REJECTED,Missing or invalid registration date
BUS0000666,Sunbeam Electricals,RC387475,registered,2017-11-02,Business Name,Facility Management,Gombe,VERIFIED,Business passed basic verification
BUS0000667,Bright Learning Institute,RC548765,registered,,Sole Proprietorship,Fintech,Delta,REJECTED,Missing or invalid registration date
BUS0000668,Urban Farm Produce,RC429536,registered,2017-04-04,Enterprise,Telecommunications,Benue,VERIFIED,Business passed basic verification
BUS0000669,MetroLink Ventures,RC696118,registered,,Partnership,Retail,Yobe,REJECTED,Missing or invalid registration date
BUS0000670,SmartServe Services,RC191634,registered,,Non-Profit Organization,Microfinance,Abia,REJECTED,Missing or invalid registration date
BUS0000671,SmartServe Services,RC709455,registered,,Non-Profit Organization,EdTech,Lagos,REJECTED,Missing or invalid registration date
BUS0000672,Spectrum Energy,RC460452,registered,,Limited Liability Company,Hospitality,Ekiti,REJECTED,Missing or invalid registration date
BUS0000673,SkyHigh Enterprises,RC876439,registered,,Partnership,Transportation,Kebbi,REJECTED,Missing or invalid registration date
BUS0000674,Bountiful Beverages,RC959357,registered,2017-02-01,Limited Liability Company,Transportation,Cross River,VERIFIED,Business passed basic verification
BUS0000675,SkyHigh Enterprises,RC250390,registered,,Partnership,Fintech,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000676,Urban Farm Produce,RC632941,registered,,Sole Proprietorship,Textiles,Plateau,REJECTED,Missing or invalid registration date
BUS0000677,Sunbeam Electricals,RC694310,registered,,Non-Profit Organization,Fashion,Plateau,REJECTED,Missing or invalid registration date
BUS0000678,BrightWave Technologies,RC978555,registered,,Business Name,Automotive,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000679,Unity Supplies Nigeria,RC201536,registered,,Limited Liability Company,Telecommunications,Plateau,REJECTED,Missing or invalid registration date
BUS0000680,GreenField Farms Ltd,RC449759,registered,,Business Name,Transportation,Imo,REJECTED,Missing or invalid registration date
BUS0000681,MetroLink Ventures,RC676277,registered,,Limited Liability Company,Waste Management,Lagos,REJECTED,Missing or invalid registration date
BUS0000682,Prime Health Supplies,RC493192,registered,2022-09-08,Limited Liability Company,Food Processing,Ebonyi,VERIFIED,Business passed basic verification
BUS0000683,Olive Oil Processing,RC791471,registered,,Limited Liability Company,Entertainment,Katsina,REJECTED,Missing or invalid registration date
BUS0000684,Nova Industrial Works,RC179262,registered,,Public Limited Company,Transportation,Borno,REJECTED,Missing or invalid registration date
BUS0000685,Heritage Consulting,RC235148,registered,,Sole Proprietorship,Healthcare,Delta,REJECTED,Missing or invalid registration date
BUS0000686,Unity Supplies Nigeria,RC681752,registered,2023-04-01,Business Name,Waste Management,Bayelsa,VERIFIED,Business passed basic verification
BUS0000687,Urban Retail Hub,RC816495,registered,2016-09-04,Cooperative Society,Media,Borno,VERIFIED,Business passed basic verification
BUS0000688,Sunbeam Electricals,RC943350,registered,,Enterprise,Agriculture,Lagos,REJECTED,Missing or invalid registration date
BUS0000689,Sunrise Traders,RC265504,registered,2021-12-09,Partnership,Education,Kogi,VERIFIED,Business passed basic verification
BUS0000690,Spectrum Energy,RC600289,registered,,Business Name,Logistics,Jigawa,REJECTED,Missing or invalid registration date
BUS0000691,Urban Retail Hub,RC721032,registered,,Non-Profit Organization,Fintech,Cross River,REJECTED,Missing or invalid registration date
BUS0000692,Orchid Pharmaceuticals,RC896692,registered,,Cooperative Society,Education,Kebbi,REJECTED,Missing or invalid registration date
BUS0000693,Horizon Auto Parts,RC189992,registered,2023-01-11,Non-Profit Organization,Agriculture,Katsina,VERIFIED,Business passed basic verification
BUS0000694,SkyHigh Enterprises,RC876783,registered,2018-11-11,Non-Profit Organization,Logistics,Ebonyi,VERIFIED,Business passed basic verification
BUS0000695,Apex Retailers,RC309974,registered,,Public Limited Company,E-commerce,Abia,REJECTED,Missing or invalid registration date
BUS0000696,Horizon Auto Parts,RC796748,registered,2025-04-03,Non-Profit Organization,Renewable Energy,Delta,FLAGGED,Recently registered business
BUS0000697,EcoTech Solutions Ltd,RC801180,registered,,Non-Profit Organization,Marketing,Sokoto,REJECTED,Missing or invalid registration date
BUS0000698,Crestfield Trading,RC834065,registered,2022-03-04,Sole Proprietorship,Marketing,Ogun,VERIFIED,Business passed basic verification
BUS0000699,Nova Industrial Works,RC761735,registered,2023-11-05,Non-Profit Organization,Hospitality,Kogi,VERIFIED,Business passed basic verification
BUS0000700,Sunrise Traders,RC167937,registered,2025-11-09,Public Limited Company,Hospitality,Adamawa,FLAGGED,Recently registered business
BUS0000701,Heritage Consulting,RC480245,registered,,Business Name,Real Estate,Ogun,REJECTED,Missing or invalid registration date
BUS0000702,MetroLink Ventures,RC753196,registered,,Partnership,Healthcare,Katsina,REJECTED,Missing or invalid registration date
BUS0000703,SkyHigh Enterprises,RC976637,registered,,Sole Proprietorship,Agro-processing,Anambra,REJECTED,Missing or invalid registration date
BUS0000704,Royal Furnishings,RC527087,registered,2016-11-05,Partnership,Fintech,Abia,VERIFIED,Business passed basic verification
BUS0000705,Nimbus IT Solutions,RC515889,registered,2023-02-12,Sole Proprietorship,Security Services,Ebonyi,VERIFIED,Business passed basic verification
BUS0000706,Pioneer Foods,RC375351,registered,,Partnership,Pharmaceuticals,Delta,REJECTED,Missing or invalid registration date
BUS0000707,Starlight Fabrics,RC668303,registered,,Business Name,Real Estate,Ogun,REJECTED,Missing or invalid registration date
BUS0000708,Bountiful Beverages,RC907168,registered,,Partnership,Textiles,Lagos,REJECTED,Missing or invalid registration date
BUS0000709,SkyHigh Enterprises,RC683918,registered,,Sole Proprietorship,Telecommunications,Katsina,REJECTED,Missing or invalid registration date
BUS0000710,Alpha Systems Ltd,RC273686,registered,2015-06-05,Partnership,Retail,Ebonyi,VERIFIED,Business passed basic verification
BUS0000711,Mercury Marketing,RC636233,registered,,Business Name,Fashion,Nasarawa,REJECTED,Missing or invalid registration date
BUS0000712,Spectrum Energy,RC140945,registered,2021-04-06,Public Limited Company,Hospitality,Kogi,VERIFIED,Business passed basic verification
BUS0000713,Lakeside Traders,RC248245,registered,2018-06-09,Enterprise,Agriculture,Katsina,VERIFIED,Business passed basic verification
BUS0000714,Mercury Marketing,RC641306,registered,,Business Name,Facility Management,Taraba,REJECTED,Missing or invalid registration date
BUS0000715,Crown Textiles,RC269059,registered,,Cooperative Society,Food Processing,Gombe,REJECTED,Missing or invalid registration date
BUS0000716,Bright Learning Institute,RC755279,registered,2016-02-07,Business Name,Legal Services,Nasarawa,VERIFIED,Business passed basic verification
BUS0000717,Apex Retailers,RC348878,registered,,Limited Liability Company,Pharmaceuticals,Benue,REJECTED,Missing or invalid registration date
BUS0000718,MetroLink Ventures,RC400952,registered,,Cooperative Society,Entertainment,Yobe,REJECTED,Missing or invalid registration date
BUS0000719,Bountiful Beverages,RC406529,registered,,Sole Proprietorship,EdTech,Bauchi,REJECTED,Missing or invalid registration date
BUS0000720,Crestfield Trading,RC971882,registered,,Enterprise,Legal Services,Adamawa,REJECTED,Missing or invalid registration date
BUS0000721,Nimbus IT Solutions,RC243887,registered,2017-12-09,Non-Profit Organization,Logistics,Cross River,VERIFIED,Business passed basic verification
BUS0000722,Mercury Marketing,RC154534,registered,2017-12-05,Sole Proprietorship,Facility Management,Adamawa,VERIFIED,Business passed basic verification
BUS0000723,Sunrise Traders,RC874034,registered,,Business Name,Telecommunications,Kebbi,REJECTED,Missing or invalid registration date
BUS0000724,Olive Oil Processing,RC525679,registered,2024-06-02,Partnership,Advertising,Abia,FLAGGED,Recently registered business
BUS0000725,MetroLink Ventures,RC967205,registered,,Limited Liability Company,Legal Services,Bauchi,REJECTED,Missing or invalid registration date
BUS0000726,Zenith Media,RC448410,registered,,Business Name,Fashion,Abia,REJECTED,Missing or invalid registration date
BUS0000727,Golden Harvest Foods,RC806635,registered,,Limited Liability Company,Media,Cross River,REJECTED,Missing or invalid registration date
BUS0000728,BlueOcean Logistics,RC762953,registered,2019-04-01,Enterprise,Information Technology,Kogi,VERIFIED,Business passed basic verification
BUS0000729,Nova Industrial Works,RC288647,registered,,Non-Profit Organization,E-commerce,Ekiti,REJECTED,Missing or invalid registration date
BUS0000730,HarborTech Systems,RC290184,registered,,Public Limited Company,Logistics,Oyo,REJECTED,Missing or invalid registration date
BUS0000731,Urban Retail Hub,RC110118,registered,2019-09-03,Cooperative Society,Transportation,Adamawa,VERIFIED,Business passed basic verification
BUS0000732,SkyHigh Enterprises,RC110263,registered,,Non-Profit Organization,Textiles,Plateau,REJECTED,Missing or invalid registration date
BUS0000733,Orchid Pharmaceuticals,RC859536,registered,,Non-Profit Organization,Marketing,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000734,Urban Farm Produce,RC743787,registered,2023-05-03,Non-Profit Organization,Education,Lagos,VERIFIED,Business passed basic verification
BUS0000735,Heritage Consulting,RC652003,registered,2025-06-12,Non-Profit Organization,Trading,Kano,FLAGGED,Recently registered business
BUS0000736,Apex Retailers,RC283248,registered,,Partnership,Consulting,Kwara,REJECTED,Missing or invalid registration date
BUS0000737,Golden Harvest Foods,RC784045,registered,,Limited Liability Company,Agriculture,Osun,REJECTED,Missing or invalid registration date
BUS0000738,EcoTech Solutions Ltd,RC725522,registered,,Business Name,Beverages,Bauchi,REJECTED,Missing or invalid registration date
BUS0000739,Spectrum Energy,RC537015,registered,2021-11-01,Cooperative Society,Automotive,Ebonyi,VERIFIED,Business passed basic verification
BUS0000740,Crown Textiles,RC843058,registered,,Business Name,Automotive,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000741,Atlas Transport,RC102911,registered,,Sole Proprietorship,EdTech,Gombe,REJECTED,Missing or invalid registration date
BUS0000742,Summit Engineering,RC802841,registered,,Limited Liability Company,Information Technology,Rivers,REJECTED,Missing or invalid registration date
BUS0000743,Urban Retail Hub,RC235634,registered,,Business Name,Agriculture,Abia,REJECTED,Missing or invalid registration date
BUS0000744,GreenField Farms Ltd,RC630375,registered,2019-01-10,Business Name,Waste Management,Imo,VERIFIED,Business passed basic verification
BUS0000745,Elite Cleaning Co,RC621571,registered,2024-02-05,Partnership,Logistics,Rivers,VERIFIED,Business passed basic verification
BUS0000746,Lakeside Traders,RC350665,registered,,Sole Proprietorship,EdTech,Borno,REJECTED,Missing or invalid registration date
BUS0000747,Apex Retailers,RC254068,registered,2015-06-09,Public Limited Company,Fashion,Ogun,VERIFIED,Business passed basic verification
BUS0000748,SkyHigh Enterprises,RC846735,registered,,Business Name,Renewable Energy,Cross River,REJECTED,Missing or invalid registration date
BUS0000749,BrightWave Technologies,RC990121,registered,,Public Limited Company,Education,Kaduna,REJECTED,Missing or invalid registration date
BUS0000750,Sunrise Traders,RC466437,registered,2022-01-06,Business Name,Healthcare,Bauchi,VERIFIED,Business passed basic verification
BUS0000751,CitiCenter Supplies,RC342419,registered,2015-07-04,Partnership,Agro-processing,Enugu,VERIFIED,Business passed basic verification
BUS0000752,Horizon Auto Parts,RC682597,registered,,Business Name,Trading,Osun,REJECTED,Missing or invalid registration date
BUS0000753,Cornerstone Ventures,RC317082,registered,2023-11-12,Non-Profit Organization,Marketing,Ebonyi,VERIFIED,Business passed basic verification
BUS0000754,Alpha Systems Ltd,RC616603,registered,,Business Name,Beverages,Kaduna,REJECTED,Missing or invalid registration date
BUS0000755,Elite Cleaning Co,RC927824,registered,2022-04-08,Limited Liability Company,Retail,Imo,VERIFIED,Business passed basic verification
BUS0000756,Sunrise Traders,RC414070,registered,,Partnership,Transportation,Gombe,REJECTED,Missing or invalid registration date
BUS0000757,Mercury Marketing,RC679470,registered,2024-08-03,Cooperative Society,Financial Services,Enugu,FLAGGED,Recently registered business
BUS0000758,Crestfield Trading,RC422283,registered,,Cooperative Society,EdTech,Abia,REJECTED,Missing or invalid registration date
BUS0000759,Mercury Marketing,RC978141,registered,,Enterprise,Transportation,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000760,Zenith Media,RC979533,registered,,Public Limited Company,Retail,Katsina,REJECTED,Missing or invalid registration date
BUS0000761,BlueOcean Logistics,RC420892,registered,2018-03-10,Business Name,Entertainment,Plateau,VERIFIED,Business passed basic verification
BUS0000762,Bountiful Beverages,RC317434,registered,2023-04-10,Non-Profit Organization,Real Estate,Kano,VERIFIED,Business passed basic verification
BUS0000763,Bright Learning Institute,RC545127,registered,,Non-Profit Organization,Healthcare,Kebbi,REJECTED,Missing or invalid registration date
BUS0000764,Urban Retail Hub,RC398089,registered,,Cooperative Society,Renewable Energy,Kano,REJECTED,Missing or invalid registration date
BUS0000765,Silverline Manufacturing,RC353610,registered,2021-08-11,Partnership,Agriculture,Borno,VERIFIED,Business passed basic verification
BUS0000766,Bountiful Beverages,RC753844,registered,,Non-Profit Organization,Trading,Gombe,REJECTED,Missing or invalid registration date
BUS0000767,Olive Oil Processing,RC428404,registered,2017-09-02,Public Limited Company,Legal Services,Katsina,VERIFIED,Business passed basic verification
BUS0000768,Mercury Marketing,RC716858,registered,,Sole Proprietorship,Construction,Osun,REJECTED,Missing or invalid registration date
BUS0000769,Guardian Security Services,RC715060,registered,2019-02-01,Limited Liability Company,Financial Services,Benue,VERIFIED,Business passed basic verification
BUS0000770,EcoTech Solutions Ltd,RC994682,registered,,Enterprise,Renewable Energy,Yobe,REJECTED,Missing or invalid registration date
BUS0000771,SkyHigh Enterprises,RC900989,registered,2016-02-01,Limited Liability Company,Renewable Energy,Ebonyi,VERIFIED,Business passed basic verification
BUS0000772,Alpha Systems Ltd,RC777734,registered,,Business Name,Logistics,Jigawa,REJECTED,Missing or invalid registration date
BUS0000773,Nimbus IT Solutions,RC322171,registered,2022-05-12,Non-Profit Organization,Telecommunications,Ekiti,VERIFIED,Business passed basic verification
BUS0000774,Sunrise Traders,RC440524,registered,,Enterprise,Human Resources,Taraba,REJECTED,Missing or invalid registration date
BUS0000775,Royal Furnishings,RC982862,registered,2020-03-05,Public Limited Company,Agriculture,Ogun,VERIFIED,Business passed basic verification
BUS0000776,Cornerstone Ventures,RC952225,registered,,Cooperative Society,Pharmaceuticals,Jigawa,REJECTED,Missing or invalid registration date
BUS0000777,Nova Industrial Works,RC131531,registered,,Cooperative Society,Agro-processing,Kogi,REJECTED,Missing or invalid registration date
BUS0000778,Elite Cleaning Co,RC958663,registered,2015-02-11,Business Name,Transportation,Kaduna,VERIFIED,Business passed basic verification
BUS0000779,Apex Retailers,RC230474,registered,,Cooperative Society,Marketing,Sokoto,REJECTED,Missing or invalid registration date
BUS0000780,Atlas Transport,RC877344,registered,,Enterprise,Legal Services,Kwara,REJECTED,Missing or invalid registration date
BUS0000781,Prime Health Supplies,RC819508,registered,,Non-Profit Organization,Trading,Plateau,REJECTED,Missing or invalid registration date
BUS0000782,Apex Retailers,RC899603,registered,,Cooperative Society,Hospitality,Delta,REJECTED,Missing or invalid registration date
BUS0000783,Mercury Marketing,RC702163,registered,2023-05-12,Sole Proprietorship,Fintech,Ogun,VERIFIED,Business passed basic verification
BUS0000784,Sunbeam Electricals,RC272915,registered,2021-10-09,Partnership,Agro-processing,Plateau,VERIFIED,Business passed basic verification
BUS0000785,Guardian Security Services,RC297820,registered,,Enterprise,Microfinance,Gombe,REJECTED,Missing or invalid registration date
BUS0000786,Vertex Global Services,RC998565,registered,,Non-Profit Organization,Tourism,Kogi,REJECTED,Missing or invalid registration date
BUS0000787,Urban Farm Produce,RC596005,registered,2024-12-12,Enterprise,Consulting,Ebonyi,FLAGGED,Recently registered business
BUS0000788,Evergreen Agro,RC312899,registered,2024-05-10,Cooperative Society,Renewable Energy,Akwa Ibom,FLAGGED,Recently registered business
BUS0000789,CitiCenter Supplies,RC252858,registered,,Sole Proprietorship,Education,Zamfara,REJECTED,Missing or invalid registration date
BUS0000790,Evergreen Agro,RC256606,registered,,Partnership,Hospitality,Borno,REJECTED,Missing or invalid registration date
BUS0000791,Summit Engineering,RC140599,registered,,Sole Proprietorship,Hospitality,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000792,Bountiful Beverages,RC300526,registered,,Non-Profit Organization,Security Services,Kebbi,REJECTED,Missing or invalid registration date
BUS0000793,Evergreen Agro,RC176329,registered,2018-05-02,Cooperative Society,Retail,Ebonyi,VERIFIED,Business passed basic verification
BUS0000794,GreenField Farms Ltd,RC175006,registered,2015-03-04,Partnership,Facility Management,Zamfara,VERIFIED,Business passed basic verification
BUS0000795,Nimbus IT Solutions,RC529206,registered,2016-07-08,Limited Liability Company,Automotive,Rivers,VERIFIED,Business passed basic verification
BUS0000796,Crestfield Trading,RC893511,registered,,Non-Profit Organization,Waste Management,Nasarawa,REJECTED,Missing or invalid registration date
BUS0000797,SkyHigh Enterprises,RC885716,registered,2018-11-04,Limited Liability Company,Wholesale,Ekiti,VERIFIED,Business passed basic verification
BUS0000798,GreenField Farms Ltd,RC994139,registered,,Cooperative Society,Wholesale,Bauchi,REJECTED,Missing or invalid registration date
BUS0000799,Spectrum Energy,RC794293,registered,2015-07-11,Non-Profit Organization,Legal Services,Kaduna,VERIFIED,Business passed basic verification
BUS0000800,SmartServe Services,RC298528,registered,,Cooperative Society,Waste Management,Kano,REJECTED,Missing or invalid registration date
BUS0000801,Nova Industrial Works,RC589938,registered,,Enterprise,Media,Rivers,REJECTED,Missing or invalid registration date
BUS0000802,Atlas Transport,RC649586,registered,2022-12-05,Enterprise,Hospitality,Cross River,VERIFIED,Business passed basic verification
BUS0000803,Heritage Consulting,RC272463,registered,2022-05-07,Limited Liability Company,Trading,Gombe,VERIFIED,Business passed basic verification
BUS0000804,Sunbeam Electricals,RC405275,registered,2018-01-01,Non-Profit Organization,Textiles,Kano,VERIFIED,Business passed basic verification
BUS0000805,Elite Cleaning Co,RC198333,registered,2018-02-05,Enterprise,Renewable Energy,Osun,VERIFIED,Business passed basic verification
BUS0000806,Urban Retail Hub,RC400207,registered,,Partnership,Waste Management,Plateau,REJECTED,Missing or invalid registration date
BUS0000807,CitiCenter Supplies,RC721751,registered,2019-02-12,Public Limited Company,Beverages,Kano,VERIFIED,Business passed basic verification
BUS0000808,Spectrum Energy,RC780280,registered,,Sole Proprietorship,Agriculture,Rivers,REJECTED,Missing or invalid registration date
BUS0000809,Alpha Systems Ltd,RC824782,registered,2016-09-05,Partnership,Trading,Anambra,VERIFIED,Business passed basic verification
BUS0000810,HarborTech Systems,RC381256,registered,,Partnership,Pharmaceuticals,Osun,REJECTED,Missing or invalid registration date
BUS0000811,SmartServe Services,RC161190,registered,2024-04-08,Business Name,Wholesale,Sokoto,FLAGGED,Recently registered business
BUS0000812,Apex Retailers,RC245349,registered,2018-04-02,Business Name,EdTech,Kogi,VERIFIED,Business passed basic verification
BUS0000813,Atlas Transport,RC615063,registered,2016-02-08,Enterprise,Logistics,Lagos,VERIFIED,Business passed basic verification
BUS0000814,Guardian Security Services,RC251367,registered,,Enterprise,Fashion,Oyo,REJECTED,Missing or invalid registration date
BUS0000815,Cornerstone Ventures,RC982786,registered,2025-11-04,Sole Proprietorship,Wholesale,Bayelsa,FLAGGED,Recently registered business
BUS0000816,MetroLink Ventures,RC603515,registered,,Enterprise,Fintech,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000817,Spectrum Energy,RC823677,registered,2022-07-03,Enterprise,Manufacturing,Adamawa,VERIFIED,Business passed basic verification
BUS0000818,Evergreen Agro,RC405612,registered,,Public Limited Company,Real Estate,Niger,REJECTED,Missing or invalid registration date
BUS0000819,SmartServe Services,RC262538,registered,,Business Name,Trading,Imo,REJECTED,Missing or invalid registration date
BUS0000820,Golden Harvest Foods,RC150972,registered,,Limited Liability Company,Information Technology,Kogi,REJECTED,Missing or invalid registration date
BUS0000821,GreenField Farms Ltd,RC434857,registered,2024-02-10,Limited Liability Company,Legal Services,Kaduna,VERIFIED,Business passed basic verification
BUS0000822,Urban Retail Hub,RC832734,registered,,Sole Proprietorship,Beverages,Kaduna,REJECTED,Missing or invalid registration date
BUS0000823,Guardian Security Services,RC829541,registered,2024-03-10,Public Limited Company,Education,Kogi,FLAGGED,Recently registered business
BUS0000824,Silverline Manufacturing,RC532088,registered,,Cooperative Society,Logistics,Anambra,REJECTED,Missing or invalid registration date
BUS0000825,Prime Health Supplies,RC168304,registered,,Cooperative Society,Tourism,Borno,REJECTED,Missing or invalid registration date
BUS0000826,Bountiful Beverages,RC670972,registered,,Limited Liability Company,Agro-processing,Nasarawa,REJECTED,Missing or invalid registration date
BUS0000827,PrimeBuild Construction,RC476149,registered,2016-10-08,Public Limited Company,Agriculture,Kebbi,VERIFIED,Business passed basic verification
BUS0000828,Summit Engineering,RC756263,registered,,Public Limited Company,Beverages,Osun,REJECTED,Missing or invalid registration date
BUS0000829,Orchid Pharmaceuticals,RC592371,registered,,Business Name,Human Resources,Kano,REJECTED,Missing or invalid registration date
BUS0000830,HarborTech Systems,RC615761,registered,2023-07-03,Business Name,Healthcare,Ogun,VERIFIED,Business passed basic verification
BUS0000831,Sunrise Traders,RC264887,registered,2015-02-05,Partnership,Human Resources,Kano,VERIFIED,Business passed basic verification
BUS0000832,Crown Textiles,RC764605,registered,2018-05-04,Cooperative Society,Logistics,Edo,VERIFIED,Business passed basic verification
BUS0000833,Olive Oil Processing,RC477804,registered,,Non-Profit Organization,Automotive,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000834,Vertex Global Services,RC135965,registered,,Partnership,Transportation,Plateau,REJECTED,Missing or invalid registration date
BUS0000835,Urban Retail Hub,RC454703,registered,2021-09-08,Business Name,Manufacturing,Bauchi,VERIFIED,Business passed basic verification
BUS0000836,Crown Textiles,RC146287,registered,2015-01-01,Public Limited Company,Retail,Yobe,VERIFIED,Business passed basic verification
BUS0000837,Prime Health Supplies,RC216319,registered,,Enterprise,Hospitality,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000838,Starlight Fabrics,RC780389,registered,2017-06-08,Public Limited Company,Education,Ebonyi,VERIFIED,Business passed basic verification
BUS0000839,Crown Textiles,RC473145,registered,,Limited Liability Company,Fashion,Lagos,REJECTED,Missing or invalid registration date
BUS0000840,Heritage Consulting,RC559582,registered,,Cooperative Society,Trading,Rivers,REJECTED,Missing or invalid registration date
BUS0000841,Crown Textiles,RC596447,registered,,Business Name,Agriculture,Kano,REJECTED,Missing or invalid registration date
BUS0000842,Silverline Manufacturing,RC867770,registered,2018-03-01,Cooperative Society,Security Services,Niger,VERIFIED,Business passed basic verification
BUS0000843,Urban Farm Produce,RC444544,registered,,Limited Liability Company,Facility Management,Lagos,REJECTED,Missing or invalid registration date
BUS0000844,Zenith Media,RC486522,registered,,Limited Liability Company,Retail,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000845,Royal Furnishings,RC397776,registered,,Enterprise,Microfinance,Zamfara,REJECTED,Missing or invalid registration date
BUS0000846,Vertex Global Services,RC236362,registered,,Enterprise,Waste Management,Kogi,REJECTED,Missing or invalid registration date
BUS0000847,BlueOcean Logistics,RC382133,registered,,Cooperative Society,Security Services,Plateau,REJECTED,Missing or invalid registration date
BUS0000848,Sunbeam Electricals,RC536049,registered,2021-04-05,Enterprise,Agro-processing,Niger,VERIFIED,Business passed basic verification
BUS0000849,Heritage Consulting,RC697467,registered,2016-02-05,Business Name,Legal Services,Osun,VERIFIED,Business passed basic verification
BUS0000850,BlueOcean Logistics,RC849518,registered,,Sole Proprietorship,Renewable Energy,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000851,Prime Health Supplies,RC363360,registered,2019-12-05,Non-Profit Organization,Trading,Sokoto,VERIFIED,Business passed basic verification
BUS0000852,Crestfield Trading,RC544545,registered,,Non-Profit Organization,Microfinance,Kebbi,REJECTED,Missing or invalid registration date
BUS0000853,Atlas Transport,RC473743,registered,,Sole Proprietorship,Facility Management,Delta,REJECTED,Missing or invalid registration date
BUS0000854,Prime Health Supplies,RC957313,registered,2015-12-02,Sole Proprietorship,Waste Management,Enugu,VERIFIED,Business passed basic verification
BUS0000855,Apex Retailers,RC427039,registered,,Cooperative Society,Tourism,Yobe,REJECTED,Missing or invalid registration date
